Cy	ADVgen	ci
jusques	PRE	jusque
a	PRE	a
la	DETdef	le
cité	NOMcom	cité
.	PONfrt	.

Si	ADVgen	si
entrasmes	VERcjg	entrer
avec	PRE	avec
les	DETdef	le
chamoix	NOMcom	chamoiz
cedit	DETdem	cedit
jour	NOMcom	jour
mesmes	ADJind	même
a	PRE	a
heure	NOMcom	heure
,	PONfbl	,
et	CONcoo	et
fusmes	VERcjg	estre
tresbien	ADVgen	tresbien
serchés	VERppe	sercher
a	PRE	a
entrer	VERinf	entrer
dedans	ADVgen	dedans
a	PRE	a
la	DETdef	le
porte	NOMcom	porte
,	PONfbl	,
pour	PRE	pour
savoir	VERinf	savoir
combien	ADVsub	combien
nous	PROper	nous
portiens	VERcjg	portenir
d'	PRE	de
argent	NOMcom	argent
et	CONcoo	et
d'	PRE	de
aultres	DETind	autre
choses	NOMcom	chose
.	PONfrt	.

Dedans	PRE	dedans
la	DETdef	le
cité	NOMcom	cité
d'	PRE	de
Alixendre	NOMpro	Alixandre
est	VERcjg	estre
le	DETdef	le
lieu	NOMcom	lieu
ouquel	PRE.PROrel	en.lequel
la	DETdef	le
vierge	NOMcom	vierge
saincte	ADJqua	saint
Katherine	NOMpro	Catherine
ot	VERcjg	avoir
la	DETdef	le
teste	NOMcom	teste
coppée	VERppe	coper
,	PONfbl	,
et	CONcoo	et
de	PRE	de
celle	DETdem	cil
place	NOMcom	place
elle	PROper	elle
fut	VERcjg	être
portée	VERppe	porter
par	PRE	par
les	DETdef	le
sains	ADJqua	saint
anges	NOMcom	ange
au	PRE.DETdef	a
commendement	NOMcom	commandement
de	PRE	de
Nostre	DETpos	notre
Seigneur	NOMcom	seigneur
ou	PRE.DETdef	en.le
hault	ADJqua	haut
de	PRE	de
la	DETdef	le
montaigne	NOMcom	montagne
de	PRE	de
Sinay	NOMpro	Sinay
,	PONfbl	,
comme	CONsub	comme
dit	VERppe	dire
est	VERcjg	estre
devant	ADVgen	devant
.	PONfrt	.

Dedans	PRE	dedans
celledicte	DETcom	celedit
cité	NOMcom	cité
d'	PRE	de
Alixendre	NOMpro	Alixandre
a	PRE	a
une	DETndf	un
grande	ADJqua	grand
rue	NOMcom	rue
,	PONfbl	,
la	DETdef	le
plus	ADVgen	plus
belle	ADJqua	beau
rue	NOMcom	rue
et	CONcoo	et
la	DETdef	le
plus	ADVgen	plus
large	ADJqua	large
de	PRE	de
toute	DETind	tout
la	DETdef	le
cité	NOMcom	cité
,	PONfbl	,
laquelle	PROrel	lequel
est	VERcjg	estre
appelée	VERppe	appeler
la	DETdef	le
rue	NOMcom	rue
Saint	ADJqua	saint
Marc	NOMpro	Marc
,	PONfbl	,
car	CONcoo	car
en	PRE	en
icelle	DETdem	cil
rue	NOMcom	rue
fut	VERcjg	être
martiriziés	VERppe	martyrer
saint	ADJqua	saint
Marc	NOMpro	Marc
,	PONfbl	,
le	DETdef	le
glorieux	ADJqua	glorieux
patron	NOMcom	patron
des	PRE.DETdef	de.le
Veniciens	NOMpro	Vénitien
.	PONfrt	.

En	PRE	en
celle	DETdem	cil
mesmes	ADJind	même
rue	NOMcom	rue
est	VERcjg	estre
le	DETdef	le
lieu	NOMcom	lieu
ou	PROrel	où
la	DETdef	le
chartre	NOMcom	charte
estoit	VERcjg	estre
en	PRE	en
laquelle	DETrel	lequel
madame	NOMcom	madame
saincte	ADJqua	saint
Katherine	NOMpro	Catherine
estoit	VERcjg	estre
mise	VERppe	metre
en	PRE	en
prison	NOMcom	prison
.	PONfrt	.

En	PRE	en
celle	DETdem	cil
mesmes	ADJind	même
rue	NOMcom	rue
est	VERcjg	estre
le	DETdef	le
lieu	NOMcom	lieu
et	CONcoo	et
la	DETdef	le
place	NOMcom	place
ou	PROrel	où
les	DETdef	le
roes	NOMcom	röe
furent	VERcjg	estre
drecées	VERppe	dresser
pour	PRE	pour
detranchier	VERinf	detrenchier
le	DETdef	le
corps	NOMcom	corps
de	PRE	de
la	DETdef	le
vierge	NOMcom	vierge
saincte	ADJqua	saint
Katherine	NOMpro	Catherine
,	PONfbl	,
et	CONcoo	et
illec	ADVgen	illuec
sont	VERcjg	estre
encor	ADVgen	encore
les	DETdef	le
.IIIJ	PROcar	quatre
.	PONfrt	.

pilliers	NOMcom	pilier
de	PRE	de
pierre	NOMcom	piere
de	PRE	de
marbre	NOMcom	marbre
sur	PRE	sur
quoy	PROrel	quoi
lesdictes	DETcom	ledit
roes	NOMcom	röe
furent	VERcjg	estre
drecées	VERppe	dresser
.	PONfrt	.

Item	ETR	item
,	PONfbl	,
sachiés	VERcjg	savoir
que	CONsub	que
en	PRE	en
celledicte	DETcom	celedit
cité	NOMcom	cité
d'	PRE	de
Alixendre	NOMpro	Alixandre
a	PRE	a
plusieurs	DETind	plusieurs
belles	ADJqua	beau
demorances	NOMcom	demorance
pour	PRE	pour
les	DETdef	le
chrestiens	NOMcom	chrétien
estranges	ADJqua	estrange
,	PONfbl	,
c'	PROdem	ce
est	VERcjg	estre
assavoir	VERinf	assavoir
pour	PRE	pour
les	DETdef	le
marchands	NOMcom	marchand
et	CONcoo	et
pour	PRE	pour
les	DETdef	le
pelerins	NOMcom	pèlerin
,	PONfbl	,
lesquelles	DETrel	lequel
demorances	NOMcom	demorance
sont	VERcjg	estre
appellées	VERppe	appeler
“	PONpga	“
fondiques	NOMcom	fondique
”	PONpdr	”
.	PONfrt	.

Et	CONcoo	et
y	PROadv	y
a	VERcjg	avoir
grant	ADJqua	grant
quantité	NOMcom	quantité
d'	PRE	de
icelles	DETdem	cil
demorances	NOMcom	demorance
,	PONfbl	,
comme	CONsub	comme
le	DETdef	le
fondique	NOMcom	fondique
de	PRE	de
France	NOMpro	France
,	PONfbl	,
le	DETdef	le
fondique	NOMcom	fondique
des	PRE.DETdef	de.le
Veniciens	NOMpro	Vénitien
,	PONfbl	,
le	DETdef	le
fondique	NOMcom	fondique
des	PRE.DETdef	de.le
Genevoix	NOMpro	Genevoix
,	PONfbl	,
le	DETdef	le
fondique	NOMcom	fondique
des	PRE.DETdef	de.le
Castellains	NOMpro	Castellan
ou	CONcoo	o
Arragonnois	NOMpro	Aragonnois
,	PONfbl	,
le	DETdef	le
fondique	NOMcom	fondique
des	PRE.DETdef	de.le
Chippriens	NOMpro	Chipprien
,	PONfbl	,
des	PRE.DETdef	de.le
Napolitains	NOMpro	Napolitain
,	PONfbl	,
des	PRE.DETdef	de.le
Enconnitains	NOMpro	Enconnitain
,	PONfbl	,
des	PRE.DETdef	de.le
Marciliains	NOMpro	Marcilain
ou	CONcoo	o
Marcelle	NOMpro	Marcelles
,	PONfbl	,
des	PRE.DETdef	de.le
Candiens	NOMpro	Candien
et	CONcoo	et
des	PRE.DETdef	de.le
Nerbonnois	NOMpro	Nerbonnois
.	PONfrt	.

Et	CONcoo	et
en	PRE	en
icellui	DETdem	cil
fondique	NOMcom	fondique
de	PRE	de
Nerbonne	NOMpro	Nerbonne
fusmes	VERcjg	estre
nous	PROper	nous
haubergez	VERppe	hauberger
nous	PROper	nous
tous	DETind	tous
pelerins	NOMcom	pèlerin
;	PONfbl	;
et	CONcoo	et
en	PRE	en
nul	PROind	nul
des	PRE.DETdef	de.le
autres	ADJind	autre
fondiques	NOMcom	fondique
ne	ADVneg	ne
peulent	VERcjg	pouvoir
estre	VERinf	estre
herbergez	VERppe	herberger
les	DETdef	le
pelerins	NOMcom	pèlerin
,	PONfbl	,
pour	PRE	pour
ce	PROdem	ce
que	CONsub	que
en	PRE	en
icellui	DETdem	cil
fondique	NOMcom	fondique
a	PRE	a
official	NOMcom	official
de	PRE	de
par	PRE	par
le	DETdef	le
Soudan	NOMpro	Soudan
,	PONfbl	,
lequel	PROrel	lequel
est	VERcjg	estre
chrestien	ADJqua	chrestiien
,	PONfbl	,
et	CONcoo	et
scet	VERcjg	savoir
combien	ADVsub	combien
il	PROper	il
doit	VERcjg	devoir
rendre	VERinf	rendre
au	PRE.DETdef	a
Soudan	NOMpro	Soudan
de	PRE	de
treu	NOMcom	trier
pour	PRE	pour
chascun	DETind	chascun
an	NOMcom	an
,	PONfbl	,
et	CONcoo	et
scet	VERcjg	savoir
combien	ADVsub	combien
il	PROper	il
doit	VERcjg	devoir
avoir	VERinf	avoir
de	PRE	de
chascun	DETind	chascun
chrestian	NOMcom	chrétien
qui	PROrel	que
entre	VERcjg	entrer
en	PRE	en
Alixendre	NOMpro	Alixandre
puisqu'il	ADVgen	puisque
soit	VERcjg	estre
pelerin	NOMcom	pèlerin
.	PONfrt	.

Et	CONcoo	et
est	VERcjg	estre
appelez	VERppe	appeler
icellui	DETdem	cil
official	NOMcom	official
“	PONpga	“
consulle	NOMcom	conseille
,	PONfbl	,
de	PRE	de
Nerbonne	NOMpro	Nerbonne
et	CONcoo	et
des	PRE.DETdef	de.le
pelerins	NOMcom	pèlerin
.	PONfbl	.
”	PONpdr	”
De	PRE	de
l'	DETdef	le
un	PROind	un
des	PRE.DETdef	de.le
costés	NOMcom	costel
d'	PRE	de
Alixendre	NOMpro	Alixandre
sont	VERcjg	estre
les	DETdef	le
plus	ADVgen	plus
beaux	ADJqua	beau
et	CONcoo	et
les	DETdef	le
plus	ADVgen	plus
grans	ADJqua	grand
jardins	NOMcom	jardin
que	PROrel	que
l'en	PROind	loin
puist	VERcjg	pouvoir
veoir	VERinf	vëoir
,	PONfbl	,
et	CONcoo	et
de	PRE	de
l'	DETdef	le
autre	ADJind	autre
part	NOMcom	part
est	VERcjg	estre
la	DETdef	le
marine	NOMcom	marine
.	PONfrt	.

Alixendre	NOMpro	Alixandre
est	VERcjg	estre
grande	ADJqua	grand
et	CONcoo	et
belle	ADJqua	beau
cité	NOMcom	cité
,	PONfbl	,
et	CONcoo	et
si	ADVgen	si
est	VERcjg	estre
tresbien	ADVgen	tresbien
fermée	VERppe	fermer
de	PRE	de
bons	ADJqua	bon
et	CONcoo	et
haulx	ADJqua	haut
murs	NOMcom	mur
et	CONcoo	et
de	PRE	de
tresgrosses	ADJqua	trégros
tours	NOMcom	tour
bien	ADVgen	bien
defenssables	ADJqua	défensable
,	PONfbl	,
et	CONcoo	et
belles	ADJqua	beau
portes	NOMcom	porte
et	CONcoo	et
fortes	ADJqua	fort
.	PONfrt	.

On	PROind	on
y	PROadv	y
fine	VERcjg	finer
bien	ADVgen	bien
de	PRE	de
bon	ADJqua	bon
vin	NOMcom	vin
es	PRE.DETdef	en.le
fondiques	NOMcom	fondique
dessus	ADVgen	dessus
dits	VERppe	dire
.	PONfrt	.

Nous	PROper	nous
partismes	VERcjg	partir
d'	PRE	de
Alixendre	NOMpro	Alixandre
en	PRE	en
Egipte	NOMpro	Égipte
la	DETdef	le
bonne	ADJqua	bon
cité	NOMcom	cité
,	PONfbl	,
et	CONcoo	et
entrasmes	VERcjg	entrer
en	PRE	en
une	DETndf	un
nafve	NOMcom	navre
pour	PRE	pour
retorner	VERinf	retorner
en	PRE	en
nostre	DETpos	notre
pays	NOMcom	pays
,	PONfbl	,
le	DETdef	le
mardi	NOMcom	mardi
devant	PRE	devant
Noel	NOMpro	Nöel
,	PONfbl	,
le	DETdef	le
.XXJe	PROcar	vingt-et-un
.	PONfrt	.

jour	NOMcom	jour
de	PRE	de
decembre	NOMcom	décembre
.	PONfrt	.

Dont	PROrel	dont
il	PROimp	il
advint	VERcjg	advenir
que	CONsub	que
cedit	DETdem	cedit
mardi	NOMcom	mardi
environ	PRE	environ
mienuit	NOMcom	mïenuit
partismes	VERcjg	partir
du	PRE.DETdef	de.le
port	NOMcom	port
d'	PRE	de
Alixendre	NOMpro	Alixandre
qu'	CONsub	que
il	PROper	il
faisoit	VERcjg	faire
bon	ADJqua	bon
temps	NOMcom	temps
et	CONcoo	et
bon	ADJqua	bon
vent	NOMcom	vent
,	PONfbl	,
mais	CONcoo	mais
nous	PROper	nous
ne	ADVneg	ne
fusmes	VERcjg	estre
mie	ADVneg	mie
.VJm	PROcar	six
.	PONfrt	.

en	PRE	en
sus	ADVgen	sus
dudit	PRE.DETcom	de.ledit
port	NOMcom	port
que	CONsub	que
une	DETndf	un
si	ADVgen	si
grande	ADJqua	grand
et	CONcoo	et
horrible	ADJqua	horrible
fortune	NOMcom	fortune
se	PROper	soi
leva	VERcjg	lever
soudainement	ADVgen	soudainement
,	PONfbl	,
laquelle	PROrel	lequel
nous	PROper	nous
dura	VERcjg	durer
le	DETdef	le
mercredi	NOMcom	mercredi
,	PONfbl	,
le	DETdef	le
jeudi	NOMcom	jeudi
et	CONcoo	et
le	DETdef	le
vendredi	NOMcom	vendredi
,	PONfbl	,
vigille	NOMcom	vigile
de	PRE	de
Noel	NOMpro	Nöel
,	PONfbl	,
et	CONcoo	et
jusques	PRE	jusque
au	PRE.DETdef	a
sabmedi	NOMcom	samedi
jour	NOMcom	jour
de	PRE	de
Noel	NOMpro	Nöel
qu'	PROrel	que
i	PROadv	i
fut	VERcjg	être
jour	NOMcom	jour
.	PONfrt	.

En	PRE	en
celle	DETdem	cil
malle	ADJqua	mal
fortune	NOMcom	fortune
perdy	VERcjg	perdre
nostre	DETpos	notre
nafve	NOMcom	navre
l'	DETdef	le
un	PROind	un
de	PRE	de
ses	DETpos	son
tymons	NOMcom	timon
dont	PROrel	dont
elle	PROper	elle
estoit	VERcjg	estre
gouvernée	VERppe	gouverner
en	PRE	en
partie	NOMcom	partie
,	PONfbl	,
et	CONcoo	et
fut	VERcjg	être
renversée	VERppe	renverser
nostre	DETpos	notre
voille	NOMcom	veille
par	PRE	par
plusieurs	DETind	plusieurs
fois	NOMcom	fois
en	PRE	en
la	DETdef	le
marine	NOMcom	marine
malgré	VERppe	maugrer
tous	DETind	tous
les	DETdef	le
mariniers	NOMcom	marinier
.	PONfrt	.

Et	CONcoo	et
quant	CONsub	cant
ce	PROdem	ce
vint	VERcjg	venir
le	DETdef	le
soir	NOMcom	soir
de	PRE	de
Noel	NOMpro	Nöel
,	PONfbl	,
ung	DETndf	un
petit	ADJqua	petit
apprés	PRE	après
mienuit	NOMcom	mïenuit
,	PONfbl	,
celle	DETdem	cil
fortune	NOMcom	fortune
nous	PROper	nous
doubla	VERcjg	doubler
,	PONfbl	,
et	CONcoo	et
fist	VERcjg	faire
si	ADVgen	si
obscur	ADJqua	obscur
que	CONsub	que
l'	DETdef	le
un	PROind	un
ne	ADVneg	ne
povoit	VERcjg	pouvoir
veoir	VERinf	vëoir
l'	DETdef	le
autre	PROind	autre
sur	PRE	sur
la	DETdef	le
nafve	NOMcom	navre
.	PONfrt	.

Si	ADVgen	si
estiens	VERcjg	estre
a	PRE	a
celle	DETdem	cil
heure	NOMcom	heure
aucques	ADVgen	auques
près	ADVgen	près
de	PRE	de
terre	NOMcom	terre
,	PONfbl	,
c'	PROdem	ce
est	VERcjg	estre
assavoir	VERinf	assavoir
des	PRE.DETdef	de.le
roches	NOMcom	roche
de	PRE	de
Chippre	NOMpro	Chippre
environ	PRE	environ
.XL	PROcar	quarante
.	PONfrt	.

milles	PROcar	mille
,	PONfbl	,
qui	PROrel	que
estoit	VERcjg	estre
la	DETdef	le
chose	NOMcom	chose
qui	PROrel	que
plus	ADVgen	plus
nous	PROper	nous
desconfortoit	VERcjg	déconforter
et	CONcoo	et
les	DETdef	le
marigniers	NOMcom	marignier
ainsi	ADVgen	ainsi
.	PONfrt	.

Et	CONcoo	et
en	PRE	en
verité	NOMcom	verité
il	PROimp	il
n'	ADVneg	ne
y	PROadv	y
avoit	VERcjg	avoir
nul	PROind	nul
qui	PROrel	que
fist	VERcjg	faire
autre	DETind	autre
semblant	NOMcom	semblant
fors	ADVgen	fors
que	CONsub	que
si	ADVgen	si
comme	CONsub	comme
cellui	PROdem	celui
qui	PROrel	que
bien	ADVgen	bien
voit	VERcjg	vëoir
devant	PRE	devant
lui	PROper	il
qu'	CONsub	que
il	PROimp	il
le	PROper	il
fault	VERcjg	falir
morir	VERinf	morir
.	PONfrt	.

Ainsi	ADVgen	ainsi
nous	PROper	nous
jecta	VERcjg	jecter
celle	DETdem	cil
horrible	ADJqua	horrible
fortune	NOMcom	fortune
hors	ADVgen	hors
de	PRE	de
nostre	DETpos	notre
chemy	NOMcom	chemi
,	PONfbl	,
qui	PROrel	que
tendiens	VERcjg	tendre
venir	VERinf	venir
en	PRE	en
Rodes	NOMpro	Rode
,	PONfbl	,
et	CONcoo	et
nous	PROper	nous
nous	PROper	nous
trouvasmes	VERcjg	trouver
près	ADVgen	près
du	PRE.DETdef	de.le
royaume	NOMcom	royaume
de	PRE	de
Chippre	NOMpro	Chippre
,	PONfbl	,
come	CONsub	come
dit	VERppe	dire
est	VERcjg	estre
.	PONfrt	.

Sy	ADVgen	si
nous	PROper	nous
advint	VERcjg	advenir
adont	ADVgen	adonc
droit	ADVgen	droit
au	PRE.DETdef	a
point	NOMcom	point
du	PRE.DETdef	de.le
jour	NOMcom	jour
,	PONfbl	,
dont	PROrel	dont
Nostre	DETpos	notre
Seigneur	NOMcom	seigneur
soit	VERcjg	estre
loez	VERppe	löer
et	CONcoo	et
beneiz	VERppe	bénir
,	PONfbl	,
qu'	CONsub	que
il	PROper	il
nous	PROper	nous
saillit	VERcjg	salir
un	DETndf	un
vent	NOMcom	vent
de	PRE	de
costiere	NOMcom	costiiere
qui	PROrel	que
nous	PROper	nous
eslargit	VERcjg	élarger
ung	DETndf	un
peu	PROind	peu
enssus	ADVgen	ensus
de	PRE	de
ladicte	DETcom	ladit
terre	NOMcom	terre
et	CONcoo	et
roches	NOMcom	roche
.	PONfrt	.

Adont	ADVgen	adonc
le	DETdef	le
jour	NOMcom	jour
se	PROper	soi
esclarcy	VERcjg	éclarcir
,	PONfbl	,
sy	ADVgen	si
congneurent	VERcjg	connaître
appertement	ADVgen	apertement
nos	DETpos	notre
marigniers	NOMcom	marignier
que	CONsub	que
ils	PROper	il
estoient	VERcjg	être
devant	PRE	devant
l'	DETdef	le
isle	NOMcom	île
de	PRE	de
Chippre	NOMpro	Chippre
,	PONfbl	,
et	CONcoo	et
que	CONsub	que
illec	ADVgen	illuec
avoit	VERcjg	avoir
une	DETndf	un
grosse	ADJqua	gros
ville	NOMcom	ville
ou	PROrel	où
il	PROimp	il
avoit	VERcjg	avoir
ung	DETndf	un
port	NOMcom	port
ou	CONcoo	o
couverte	VERppe	couvrir
que	PROrel	que
on	PROind	on
appeloit	VERcjg	appeler
Limesso	NOMpro	Limessous
en	PRE	en
Chippre	NOMpro	Chippre
.	PONfrt	.

Et	CONcoo	et
si	ADVgen	si
comme	CONsub	comme
il	PROimp	il
plut	VERcjg	pleuvoir
a	PRE	a
Nostre	DETpos	notre
Seigneur	NOMcom	seigneur
,	PONfbl	,
nous	PROper	nous
arrivasmes	VERcjg	arriver
devant	PRE	devant
icelle	DETdem	cil
ville	NOMcom	ville
de	PRE	de
Limesso	NOMpro	Limessous
,	PONfbl	,
non	ADVneg	non
pas	ADVneg	pas
tout	ADVgen	tout
près	ADVgen	près
mais	ADVgen	mais
plus	ADVgen	plus
bas	ADJqua	bas
,	PONfbl	,
environ	PRE	environ
heure	NOMcom	heure
de	PRE	de
tierce	NOMcom	tierce
,	PONfbl	,
le	DETdef	le
jour	NOMcom	jour
de	PRE	de
la	DETdef	le
Nativité	NOMcom	nativité
Nostre	DETpos	notre
Seigneur	NOMcom	seigneur
,	PONfbl	,
dont	PROrel	dont
un	DETndf	un
chascun	PROind	chascun
de	PRE	de
nous	PROper	nous
fut	VERcjg	être
moult	ADVgen	moult
joyeux	ADJqua	joyau
et	CONcoo	et
regracia	VERcjg	regracier
Nostre	DETpos	notre
Seigneur	NOMcom	seigneur
de	PRE	de
bon	ADJqua	bon
coeur	NOMcom	cœur
.	PONfrt	.

Et	CONcoo	et
sachez	VERcjg	savoir
que	CONsub	que
nous	PROper	nous
vous	PROper	vous
certiffions	VERcjg	certifier
que	CONsub	que
nous	PROper	nous
oismes	VERcjg	ouïr
jurer	VERinf	jurer
a	PRE	a
plusieurs	PROind	plusieurs
,	PONfbl	,
que	CONsub	que
par	PRE	par
plusieurs	DETind	plusieurs
fois	NOMcom	fois
avoient	VERcjg	avoir
esté	VERppe	être
en	PRE	en
plusieurs	PROind	plusieurs
et	CONcoo	et
diversses	DETind	divers
fortunes	NOMcom	fortune
sur	PRE	sur
mer	NOMcom	mer
,	PONfbl	,
sur	PRE	sur
la	DETdef	le
dampnacion	NOMcom	damnation
de	PRE	de
leurs	DETpos	leur
ames	NOMcom	âme
,	PONfbl	,
que	CONsub	que
onques	ADVgen	onque
en	PRE	en
nulle	DETind	nul
fortune	NOMcom	fortune
qu'	PROrel	que
ilz	PROper	il
eussent	VERcjg	avoir
eue	VERppe	avoir
n'	ADVneg	ne
orent	VERcjg	avoir
si	ADVgen	si
grant	ADJqua	grant
paour	NOMcom	peur
d'	PRE	de
estre	VERinf	estre
periz	VERppe	perir
comme	CONsub	comme
a	PRE	a
ceste	DETdem	cest
fois	NOMcom	fois
.	PONfrt	.

Or	ADVgen	or
en	PROadv	en
soit	VERcjg	estre
Nostre	DETpos	notre
Seigneur	NOMcom	seigneur
par	PRE	par
cent	DETcar	cent
.M	PROcar	mille
.	PONfrt	.

fois	NOMcom	fois
louez	VERppe	louer
et	CONcoo	et
regraciés	VERppe	regracier
quant	CONsub	cant
il	PROper	il
nous	PROper	nous
delivra	VERcjg	délivrer
de	PRE	de
tel	DETind	tel
peril	NOMcom	peril
,	PONfbl	,
et	CONcoo	et
vueille	VERcjg	vouloir
garder	VERinf	garder
et	CONcoo	et
saulver	VERinf	sauver
les	DETdef	le
corps	NOMcom	corps
et	CONcoo	et
les	DETdef	le
ames	NOMcom	âme
de	PRE	de
tous	DETind	tous
bons	ADJqua	bon
chrestiens	NOMcom	chrétien
par	PRE	par
mer	NOMcom	mer
et	CONcoo	et
par	PRE	par
terre	NOMcom	terre
de	PRE	de
la	DETdef	le
main	NOMcom	main
et	CONcoo	et
puissance	NOMcom	poissance
du	PRE.DETdef	de.le
Deable	NOMcom	dïable
d'	PRE	de
enfer	NOMcom	enfer
!	PONfrt	!

Amen	ETR	amen
.	PONfrt	.

Nous	PROper	nous
descendimes	VERcjg	descendre
a	PRE	a
terre	NOMcom	terre
,	PONfbl	,
c'	PROdem	ce
est	VERcjg	estre
assavoir	VERinf	assavoir
en	PRE	en
ladicte	DETcom	ladit
ville	NOMcom	ville
de	PRE	de
Limeso	NOMpro	Limesou
,	PONfbl	,
qui	PROrel	que
fut	VERcjg	être
jadis	ADVgen	jadis
moult	ADVgen	moult
bonne	ADJqua	bon
cité	NOMcom	cité
,	PONfbl	,
le	DETdef	le
dimenche	NOMcom	dimanche
ensuivant	VERppa	ensuivre
,	PONfbl	,
jour	NOMcom	jour
de	PRE	de
feste	NOMcom	fête
de	PRE	de
saint	ADJqua	saint
Estienne	NOMpro	Etienne
premier	ADJord	premier
martyr	NOMcom	martyr
,	PONfbl	,
.XXVJe	PROcar	vingt-six
.	PONfrt	.

jour	NOMcom	jour
de	PRE	de
decembre	NOMcom	décembre
.	PONfrt	.

Et	CONcoo	et
sachiés	VERcjg	savoir
que	CONsub	que
celle	DETdem	cil
cité	NOMcom	cité
de	PRE	de
Limeso	NOMpro	Limesou
,	PONfbl	,
qui	PROrel	que
est	VERcjg	estre
la	DETdef	le
pluspart	NOMcom	plospard
deshabitée	VERppe	deshabiter
,	PONfbl	,
fut	VERcjg	être
jadis	ADVgen	jadis
ainsi	ADVgen	ainsi
destruicte	VERppe	détruire
par	PRE	par
les	DETdef	le
Genevois	NOMpro	Genevois
pour	PRE	pour
le	DETdef	le
temps	NOMcom	temps
qu'	PROrel	que
ilz	PROper	il
firent	VERcjg	faire
guerre	NOMcom	guerre
au	PRE.DETdef	a
roy	NOMcom	roi
de	PRE	de
Chippre	NOMpro	Chippre
,	PONfbl	,
et	CONcoo	et
encore	ADVgen	encore
en	PROadv	en
tiennent	VERcjg	tenir
une	DETndf	un
moult	ADVgen	moult
fort	ADJqua	fort
cité	NOMcom	cité
et	CONcoo	et
bon	ADJqua	bon
port	NOMcom	port
qui	PROrel	que
est	VERcjg	estre
appellée	VERppe	appeler
Famagost	NOMpro	Famagost
en	PRE	en
Chippre	NOMpro	Chippre
.	PONfrt	.

Au	PRE.DETdef	a
surplus	NOMcom	surplus
le	DETdef	le
roy	NOMcom	roi
de	PRE	de
Chippre	NOMpro	Chippre
joyst	VERcjg	joisir
paisiblement	ADVgen	paisiblement
de	PRE	de
toute	DETind	tout
l'	DETdef	le
isle	NOMcom	île
de	PRE	de
Chippre	NOMpro	Chippre
qui	PROrel	que
a	PRE	a
.VIJc	PROcar	six
.	PONfrt	.

mille	PROcar	mille
de	PRE	de
tour	NOMcom	tour
.	PONfrt	.

En	PRE	en
cette	DETdem	cet
cité	NOMcom	cité
de	PRE	de
Limesso	NOMpro	Limessous
sejournasmes	VERcjg	séjourner
nous	PROper	nous
depuis	PRE	depuis
cedit	DETdem	cedit
dimenche	NOMcom	dimanche
jusques	PRE	jusque
au	PRE.DETdef	a
sabmedi	NOMcom	samedi
ensuivant	VERppa	ensuivre
,	PONfbl	,
jour	NOMcom	jour
du	PRE.DETdef	de.le
nouvel	ADJqua	nouveau
an	NOMcom	an
,	PONfbl	,
qui	PROrel	que
a	PRE	a
cedit	DETdem	cedit
jour	NOMcom	jour
le	DETdef	le
roy	NOMcom	roi
de	PRE	de
Chippre	NOMpro	Chippre
nous	PROper	nous
avoit	VERcjg	avoir
envoyé	VERppe	envoyer
ung	PROind	un
de	PRE	de
ses	DETpos	son
escuiers	NOMcom	escuier
et	CONcoo	et
avec	PRE	avec
lui	PROper	il
mules	NOMcom	mule
,	PONfbl	,
chevaux	NOMcom	cheval
et	CONcoo	et
sommiers	NOMcom	sommier
pour	PRE	pour
porter	VERinf	porter
nostre	DETpos	notre
cariage	NOMcom	charriage
jusques	PRE	jusque
en	PRE	en
la	DETdef	le
cité	NOMcom	cité
de	PRE	de
Nicossie	NOMpro	Nicossie
.	PONfrt	.

Celui	DETdem	cel
jour	NOMcom	jour
du	PRE.DETdef	de.le
novel	ADJqua	novel
an	PROadv	en
fut	VERcjg	être
chargez	VERppe	charger
nostre	DETpos	notre
cariage	NOMcom	charriage
,	PONfbl	,
et	CONcoo	et
montasmes	VERcjg	monter
a	PRE	a
cheval	NOMcom	cheval
pour	PRE	pour
aler	VERinf	aler
en	PRE	en
ladicte	DETcom	ladit
cité	NOMcom	cité
de	PRE	de
Nicossie	NOMpro	Nicossie
ou	PROrel	où
le	DETdef	le
roy	NOMcom	roi
estoit	VERcjg	estre
.	PONfrt	.

Et	CONcoo	et
adressasmes	VERcjg	adresser
nostre	DETpos	notre
chemy	NOMcom	chemi
pour	PRE	pour
aler	VERinf	aler
en	PRE	en
pelerinage	NOMcom	pèlerinage
droit	ADVgen	droit
a	PRE	a
Saincte	ADJqua	saint
Croix	NOMpro	Croix
qui	PROrel	que
est	VERcjg	estre
en	PRE	en
Chippre	NOMpro	Chippre
,	PONfbl	,
et	CONcoo	et
est	VERcjg	estre
la	DETdef	le
croix	NOMcom	croix
ou	PROrel	où
le	DETdef	le
bon	ADJqua	bon
Larron	NOMcom	larron
fut	VERcjg	être
pendus	VERppe	pendre
a	PRE	a
la	DETdef	le
destre	NOMcom	dextre
de	PRE	de
Nostre	DETpos	notre
Seigneur	NOMcom	seigneur
Jhesu	NOMpro	Jésus
Crist	NOMpro	Christ
.	PONfrt	.

Icelle	DETdem	cil
saincte	ADJqua	saint
croix	NOMcom	croix
est	VERcjg	estre
de	PRE	de
moult	ADVgen	moult
grant	ADJqua	grant
vertus	NOMcom	vertu
,	PONfbl	,
et	CONcoo	et
est	VERcjg	estre
merveilleuse	ADJqua	merveillos
chose	NOMcom	chose
